Date,SO2,CO,PM_10,NO2
2/7/1994,2.905455214,0.942317,23.17647059,15.045563
2/8/1994,1.770604357,0.909200667,30,8.066394
2/9/1994,1.942407405,0.822721267,28,8.8000002
2/10/1994,3.099396929,0.736416367,29,7.5817424
2/11/1994,4.10545069,0.651607933,33,9.6403985
2/12/1994,3.406920333,0.7769444,21,13.2954544
2/13/1994,5.3043645,0.685221867,18.64864865,9.4964286
2/14/1994,4.7988746,0.7982152,28,14.7854236
2/15/1994,5.938596775,0.986798367,30,20.090303
2/16/1994,5.424508095,0.9994628,26.33333333,21.0192982
2/17/1994,3.24417581,0.876367967,21,21.3650624
2/18/1994,2.964029667,0.7343061,20,13.2916666
2/19/1994,3.456981725,0.595277767,22,9.2
2/20/1994,3.1294951,0.632274467,17,10.5440476
2/21/1994,5.0181806,0.870640167,24,13.8572946
2/22/1994,3.6892218,0.821398867,25,10.095238
2/23/1994,2.706373175,0.6821119,22,7.9712988
2/24/1994,5.842015825,0.8199393,19,16.5095236
2/25/1994,7.09668965,1.364134,24.57575758,28.4614034
2/26/1994,5.864849875,0.887481833,26,13.85
2/27/1994,8.24049685,0.755214,25,15.6933334
2/28/1994,6.04252885,0.8179349,30,15.604762
3/1/1994,4.581602238,0.783998633,29,10.3928572
3/2/1994,2.106918262,0.590790333,30,6.1460784
3/3/1994,6.345444905,0.6591919,23.88571429,11.1972942
3/4/1994,3.468347625,0.8963648,22,16.5278986
3/5/1994,2.17533125,0.7770833,21,16.1583332
3/6/1994,4.253356725,1.145425667,27,18.8119046
3/7/1994,4.7062763,0.942282857,34,16.4359524
3/8/1994,5.7036023,0.933103867,28,14.8900002
3/9/1994,3.0753286,0.729246633,20.61111111,7.6351516
3/10/1994,8.205347575,0.578740067,19,7.5011904
3/11/1994,5.335529625,0.73875,21.59863416,16.6083334
3/12/1994,4.516330375,0.682777767,27,15.6916666
3/13/1994,4.682262475,0.684909767,24,17.029762
3/14/1994,4.686415952,0.832283933,28,14.4349124
3/15/1994,1.827666238,0.8853865,30.1875,14.3964284
3/16/1994,6.15145205,0.6959141,27.5,11.9191176
3/17/1994,5.434601625,0.849330767,26,17.0542606
3/18/1994,2.548551,1.09375,35,15.6204546
3/19/1994,3.596715738,0.7761111,28,9.9144738
3/20/1994,1.505063476,0.7331818,23,6.8916666
3/21/1994,2.782193976,0.7334387,21.57142857,10.0180952
3/22/1994,2.461346929,0.732022967,21,11.4519478
3/23/1994,3.518003125,0.890444833,29.5,10.758788
3/24/1994,1.254329625,0.81889,21.59863416,7.9130956
3/25/1994,3.9520353,0.6958816,22,9.45
3/26/1994,5.131740075,0.683888867,26,9.7916666
3/27/1994,2.808154875,0.506267133,26.62162162,4.1083332
3/28/1994,2.108478711,0.572861429,45,7.1561904
3/29/1994,3.891789421,0.668115857,23,13.275
3/30/1994,3.296987211,0.907549586,26.5,20.6901514
3/31/1994,9.135604211,0.7463257,31,12.5440476
4/1/1994,8.736365289,0.6639646,25,14.775
4/2/1994,3.650314868,0.729583333,28.73529412,17.9166668
4/3/1994,2.820905553,0.598753033,27,11.7190476
4/4/1994,6.945193211,0.772937567,27,11.074058
4/5/1994,2.8659738,1.0271103,28,14.075
4/6/1994,2.655339575,0.8241633,31,11.6181818
4/7/1994,4.28951905,0.6978788,24,11.551666
4/8/1994,4.84948915,0.846884033,28.75757576,16.3583332
4/9/1994,7.2885119,0.554027767,27,11.1083332
4/10/1994,6.35088265,0.504368667,25,5.8333334
4/11/1994,5.047563925,0.710857467,30,7.6792208
4/12/1994,3.45596085,0.765953033,32,10.2375756
4/13/1994,2.779782575,0.660257967,35,13.6666668
4/14/1994,1.1563063,0.6794959,23.96969697,8.295238
4/15/1994,2.3062447,0.773706267,29,7.725
4/16/1994,5.635181925,0.551881367,25,9.6
4/17/1994,5.1576577,0.518742667,26,11.1595238
4/18/1994,5.0106645,0.840680267,34,19.7564286
4/19/1994,5.941352143,0.7972863,25,19.7481884
4/20/1994,5.385402762,0.792893733,26.78787879,17.2057485
4/21/1994,4.880718595,0.741710667,20,14.61385
4/22/1994,3.531538795,0.714795533,21.59863416,10.26268125
4/23/1994,3.018952909,0.619166733,14,10.375
4/24/1994,2.622335432,0.559469733,21,13.29166675
4/25/1994,2.622400977,0.8447608,20,12.49404775
4/26/1994,5.223861977,0.7879537,23.65625,10.5535715
4/27/1994,4.621046886,0.796070833,21.59863416,13.645833
