#title = mean sea level anomaly Gulf of Mexico (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (https://www.star.nesdis.noaa.gov/socd/lsa/RADS.php) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 4.68 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3,Sentinel-6MF
2006.42390,,8.94000,,,
2006.45130,,24.22000,,,
2006.47800,,11.35000,,,
2006.50550,,12.97000,,,
2006.53250,,-11.62000,,,
2006.56000,,-2.58000,,,
2006.58680,,-9.72000,,,
2006.61400,,-12.27000,,,
2006.64160,,-27.52000,,,
2006.66830,,-36.96000,,,
2006.69520,,-25.32000,,,
2006.72270,,-8.51000,,,
2006.74960,,7.34000,,,
2006.77670,,30.49000,,,
2006.80420,,36.36000,,,
2006.82370,,11.07000,,,
2006.88990,,-15.26000,,,
2006.91260,,-7.44000,,,
2006.93950,,5.70000,,,
2006.96710,,0.86000,,,
2006.99410,,8.03000,,,
2007.02120,,25.73000,,,
2007.04860,,32.98000,,,
2007.07560,,26.75000,,,
2007.10270,,7.53000,,,
2007.12990,,-13.72000,,,
2007.15700,,5.88000,,,
2007.18420,,25.51000,,,
2007.21140,,35.44000,,,
2007.23830,,20.06000,,,
2007.26520,,27.46000,,,
2007.29290,,-0.93000,,,
2007.31970,,34.42000,,,
2007.34690,,35.40000,,,
2007.37440,,40.88000,,,
2007.40130,,62.43000,,,
2007.42870,,34.05000,,,
2007.45610,,27.76000,,,
2007.48320,,23.97000,,,
2007.51010,,32.40000,,,
2007.53750,,12.84000,,,
2007.56400,,11.79000,,,
2007.59170,,2.77000,,,
2007.61880,,-2.55000,,,
2007.64540,,7.63000,,,
2007.67310,,-14.53000,,,
2007.70020,,13.89000,,,
2007.72680,,30.37000,,,
2007.75420,,66.84000,,,
2007.78150,,55.16000,,,
2007.80860,,14.42000,,,
2007.83570,,20.68000,,,
2007.86270,,16.88000,,,
2007.88960,,19.68000,,,
2007.91720,,18.93000,,,
2007.94420,,6.81000,,,
2007.97140,,3.18000,,,
2007.99880,,41.57000,,,
2008.02560,,30.30000,,,
2008.05280,,44.18000,,,
2008.08000,,50.87000,,,
2008.10700,,42.87000,,,
2008.13420,,33.28000,,,
2008.16170,,30.98000,,,
2008.18860,,24.99000,,,
2008.21570,,15.09000,,,
2008.24300,,-9.51000,,,
2008.27010,,5.95000,,,
2008.29710,,9.11000,,,
2008.32440,,13.38000,,,
2008.34390,,-17.26000,,,
2008.37850,,21.34000,,,
2008.40590,,17.71000,,,
2008.43300,,10.35000,,,
2008.45970,,26.85000,,,
2008.48760,,46.07000,,,
2008.51450,,29.26000,,,
2008.51880,,,14.17000,,
2008.54180,,34.40000,,,
2008.54270,,,28.50000,,
2008.56880,,23.67000,,,
2008.56980,,,22.75000,,
2008.59220,,13.19000,,,
2008.59670,,,9.07000,,
2008.62360,,,28.07000,,
2008.65050,,-15.32000,,,
2008.65090,,,7.32000,,
2008.67720,,36.75000,,,
2008.67780,,,43.88000,,
2008.70480,,79.46000,,,
2008.70520,,,62.87000,,
2008.73160,,51.84000,,,
2008.73210,,,41.08000,,
2008.75900,,45.14000,,,
2008.75940,,,43.39000,,
2008.78610,,32.90000,,,
2008.78670,,,32.38000,,
2008.81290,,79.35000,,,
2008.81370,,,75.16000,,
2008.84030,,55.69000,,,
2008.84100,,,63.78000,,
2008.86720,,30.89000,,,
2008.86780,,,31.05000,,
2008.89450,,34.73000,,,
2008.89480,,,28.07000,,
2008.92160,,-7.78000,,,
2008.92240,,,-9.81000,,
2008.94900,,2.09000,,,
2008.94960,,,15.63000,,
2008.97610,,24.31000,,,
2008.97690,,,22.29000,,
2009.00310,,5.05000,,,
2009.00380,,,0.77000,,
2009.03030,,-0.16000,,,
2009.03160,,,5.69000,,
2009.05770,,5.44000,,,
2009.05790,,,20.67000,,
2009.08490,,,21.54000,,
2009.11250,,,9.03000,,
2009.12550,,28.01000,,,
2009.13980,,,22.48000,,
2009.15250,,24.82000,,,
2009.16660,,,50.18000,,
2009.17960,,40.50000,,,
2009.19400,,,58.15000,,
2009.20670,,47.51000,,,
2009.22090,,,65.83000,,
2009.23400,,67.33000,,,
2009.24830,,,44.51000,,
2009.26120,,34.75000,,,
2009.27500,,,38.62000,,
2009.28830,,37.92000,,,
2009.30250,,,43.33000,,
2009.31550,,40.36000,,,
2009.32980,,,32.73000,,
2009.34250,,38.34000,,,
2009.35640,,,26.97000,,
2009.36950,,53.18000,,,
2009.38420,,,33.09000,,
2009.39680,,41.84000,,,
2009.40990,,,16.87000,,
2009.42390,,32.94000,,,
2009.43880,,,58.84000,,
2009.45120,,40.44000,,,
2009.46520,,,66.40000,,
2009.47860,,46.71000,,,
2009.49230,,,65.91000,,
2009.50540,,64.29000,,,
2009.51940,,,81.60000,,
2009.53250,,65.38000,,,
2009.54710,,,34.26000,,
2009.55940,,41.22000,,,
2009.57410,,,20.35000,,
2009.58670,,23.51000,,,
2009.60110,,,20.97000,,
2009.61400,,60.03000,,,
2009.62830,,,41.16000,,
2009.64100,,57.67000,,,
2009.65490,,,34.40000,,
2009.66810,,49.60000,,,
2009.68280,,,31.55000,,
2009.69430,,64.48000,,,
2009.71000,,,74.26000,,
2009.73560,,68.46000,,,
2009.73640,,,67.63000,,
2009.75010,,64.02000,,,
2009.76410,,,41.73000,,
2009.77690,,46.61000,,,
2009.79110,,,53.73000,,
2009.80430,,52.88000,,,
2009.81860,,,55.66000,,
2009.83130,,29.51000,,,
2009.84530,,,65.86000,,
2009.85840,,67.12000,,,
2009.87250,,,60.26000,,
2009.88560,,65.44000,,,
2009.89980,,,53.06000,,
2009.91250,,57.90000,,,
2009.92780,,,56.55000,,
2009.93980,,58.07000,,,
2009.95410,,,49.42000,,
2009.96710,,69.86000,,,
2009.98100,,,57.76000,,
2009.99400,,62.28000,,,
2010.00860,,,28.88000,,
2010.02120,,23.33000,,,
2010.03500,,,3.38000,,
2010.04840,,7.71000,,,
2010.06240,,,30.44000,,
2010.07550,,33.23000,,,
2010.08980,,,33.11000,,
2010.10280,,24.35000,,,
2010.11700,,,15.52000,,
2010.12970,,25.77000,,,
2010.14340,,,23.11000,,
2010.15710,,13.68000,,,
2010.17130,,,12.64000,,
2010.18420,,9.31000,,,
2010.19800,,,8.05000,,
2010.21140,,-6.86000,,,
2010.22540,,,9.73000,,
2010.23830,,-2.04000,,,
2010.25270,,,-3.84000,,
2010.26450,,13.41000,,,
2010.27950,,,-5.05000,,
2010.29240,,6.88000,,,
2010.30700,,,-11.86000,,
2010.32000,,1.75000,,,
2010.33420,,,-6.28000,,
2010.34720,,19.94000,,,
2010.36160,,,6.80000,,
2010.37410,,-0.96000,,,
2010.38840,,,21.76000,,
2010.40090,,-2.99000,,,
2010.41570,,,24.29000,,
2010.42760,,31.38000,,,
2010.44200,,,25.19000,,
2010.45560,,34.67000,,,
2010.46980,,,22.26000,,
2010.48310,,9.90000,,,
2010.49770,,,37.17000,,
2010.50970,,36.51000,,,
2010.52450,,,47.26000,,
