Date,pm10,CO,SO2,NO2
8/17/1993,31.55555556,1.0060749,4.165434431,14.88050269
8/18/1993,46,1.015709758,3.892404608,11.30979263
8/19/1993,43,0.887469016,5.095485782,11.61703053
8/20/1993,27.5,0.860708633,6.779946705,13.050842
8/21/1993,41,0.741558083,4.314484756,8.890569
8/22/1993,22,0.667965948,4.631710711,11.04730388
8/23/1993,25.98529412,0.9045715,5.355569688,14.49579659
8/24/1993,24,0.777712129,5.338472125,13.02739924
8/25/1993,22,1.09888121,6.671098088,15.64299719
8/26/1993,25.66666667,1.192628145,7.085912563,19.87977356
8/27/1993,13,1.086711274,6.618519038,18.01312119
8/28/1993,13,0.935156645,6.695760225,14.37957431
8/29/1993,17.37142857,0.875870694,4.502511488,12.553091
8/30/1993,36,0.929758081,5.357503738,14.63280863
8/31/1993,45,0.905877194,5.3802594,11.65637925
9/1/1993,19,0.803523823,6.021247688,11.17750593
9/2/1993,19,0.802969742,5.046481275,10.7571185
9/3/1993,19,0.795776177,5.58752435,10.14702907
9/4/1993,16.18461538,0.845412597,4.173080375,10.43566427
9/5/1993,18,0.81402121,5.2719384,10.38782613
9/6/1993,17,0.816837016,5.728152692,11.96740333
9/7/1993,14.5,1.070067419,5.8976791,13.09808887
9/8/1993,17,1.22574129,4.636599325,18.31113925
9/9/1993,24,1.196758177,4.71695065,14.78466312
9/10/1993,21.54545455,0.938035016,4.7388175,13.83582488
9/11/1993,29,0.936499787,5.489603923,11.75885212
9/12/1993,30,0.962807839,4.679639205,10.57676631
9/13/1993,25.5,0.722521597,5.862691577,11.26886319
9/14/1993,23.5,0.857252048,5.08756291,10.8079388
9/15/1993,12,0.720539565,4.561476421,9.689866438
9/16/1993,15.14925373,0.848648532,3.638473679,9.5771625
9/17/1993,15,1.001629081,3.556898064,9.809712125
9/18/1993,16,1.05812,3.907152128,10.23173319
9/19/1993,22,0.791745952,3.267589282,8.0617634
9/20/1993,38,0.914487726,5.221388397,11.706112
9/21/1993,26,1.062109968,3.680295949,12.98640081
9/22/1993,20.74242424,1.148885952,4.446703175,14.39157653
9/23/1993,33,1.122544129,6.134706692,16.87373094
9/24/1993,37,1.033400581,5.010599205,13.825813
9/25/1993,30,1.014275355,4.254762947,14.01719953
9/26/1993,13,0.625341233,3.545146132,9.898573353
9/27/1993,17,0.845635933,4.565880628,13.23317512
9/28/1993,17.609375,0.83939625,5.397943551,14.02167244
9/29/1993,16.5,0.937409516,5.548695449,15.07468256
9/30/1993,18,0.994955403,4.9709683,13.29785981
10/1/1993,17,0.981949242,5.888779321,14.73821723
10/2/1993,20,0.823810367,6.176516329,14.54358962
10/3/1993,16,0.836964065,4.531276679,15.01538462
10/4/1993,17.82258065,1.084431371,6.101722218,20.26663764
10/5/1993,29,1.04742479,4.614370756,14.02492943
10/6/1993,28,1.166370758,6.471674475,17.5445265
10/7/1993,18,1.161929919,5.386846463,18.83411314
10/8/1993,7,1.244819677,6.035509475,20.271413
10/9/1993,15,1.279090742,6.204394088,17.44821429
10/10/1993,11.859375,0.769533113,3.795186663,10.18397431
10/11/1993,14,0.911564597,5.847618638,13.87234838
10/12/1993,22,1.048195726,4.980086088,19.30225627
10/13/1993,23.5,1.168395839,6.439887825,18.30610529
10/14/1993,31,1.215902839,6.443472112,20.00697286
10/15/1993,31,1.371355565,7.156720613,23.76119107
10/16/1993,20.92424242,1.293577645,4.96354425,19.08707727
10/17/1993,9,0.800470452,2.874592413,12.47016913
10/18/1993,24,1.066591677,4.784016663,16.0844916
10/19/1993,34,1.098188339,5.0400675,15.82587892
10/20/1993,18,1.056735403,3.607409263,15.17674714
10/21/1993,20,1.054630919,4.379480308,11.57989508
10/22/1993,16.14516129,0.993073726,5.81408025,12.80167215
10/23/1993,24,1.048955233,5.293947618,13.41368446
10/24/1993,24,1.210582717,6.862156039,18.251048
10/25/1993,25,1.482855516,9.853537628,24.96811593
10/26/1993,9,1.098738919,4.15298425,15.42392792
10/27/1993,18,1.006951733,4.115650908,15.52959064
10/28/1993,20.984375,1.0696721,5.243396256,18.66113446
10/29/1993,23,1.25849095,8.009160338,24.29916331
10/30/1993,11,0.853242155,4.911348868,19.05349762
10/31/1993,10.5,0.688762483,3.623617276,11.41758631
11/1/1993,13,0.775392897,5.042781108,11.37498707
11/2/1993,17,1.083174317,7.358682611,15.962274
11/3/1993,22.484375,1.382348793,9.566568816,21.65776593
11/4/1993,28,1.401797316,8.849802962,21.69171286
11/5/1993,12,0.94155525,4.225633628,17.95905771
11/6/1993,8,0.87911981,5.212634731,13.93363093
11/7/1993,17,0.8529485,6.103061667,11.90973079
11/8/1993,20,1.461316433,10.48020079,19.48095407
11/9/1993,26.78787879,1.502191967,12.74275538,21.80952973
11/10/1993,22,1.640329133,13.19374378,24.36656567
11/11/1993,21,1.396795397,11.75836083,25.158442
11/12/1993,20.5,1.04259735,8.637340282,20.58866807
11/13/1993,16,0.980477017,5.069306615,18.77619567
11/14/1993,14,0.722010883,6.089851756,14.09574887
11/15/1993,17.33870968,0.815052383,5.846005641,13.70777
11/16/1993,20,0.9363774,5.547798,15.43449487
11/17/1993,22,0.970121367,5.151429627,16.99337456
11/18/1993,20,0.983218333,5.249619519,15.764206
11/19/1993,27,1.168744617,6.138745934,19.74894094
11/20/1993,17,0.84928745,5.232170194,15.11071119
11/21/1993,16.51515152,0.901958339,6.942379486,15.951558
11/22/1993,39,1.202384897,10.25827715,21.87393669
11/23/1993,37,1.36020885,11.19592904,23.02854331
11/24/1993,22.5,1.39156685,9.878012068,24.62071806
11/25/1993,38,0.819281433,7.338407892,15.14245187
11/26/1993,37,1.193553767,9.732885297,18.88161464
11/27/1993,14.92537313,1.105081467,4.333330432,13.82600353
11/28/1993,8,0.627995167,3.374110527,10.99886113
11/29/1993,22,1.006318033,7.279812149,18.74620667
11/30/1993,22.5,1.188287617,7.813250405,16.74531571
12/1/1993,36,0.943931283,8.538973763,17.94298413
12/2/1993,25,0.99905795,7.917280026,21.0041085
12/3/1993,23.015625,1.318584233,7.278142013,21.09474294
12/4/1993,16,1.29445955,6.390191169,19.29449563
12/5/1993,9,0.722460683,3.655130571,12.15202213
12/6/1993,17,1.113405767,7.803582416,21.30592469
12/7/1993,22,1.184559267,9.097603113,18.79190444
12/8/1993,26,1.660710817,9.488337688,21.25456119
12/9/1993,29.8125,1.929711883,11.7847855,24.11366788
12/10/1993,26,1.422623733,6.109669987,21.83480538
12/11/1993,8,0.618278379,5.916078038,11.74622469
12/12/1993,9.5,0.648082241,6.737276654,9.83296
12/13/1993,24,1.138415052,8.472270863,18.16536136
12/14/1993,15,1.2303495,7.2003344,19.36010993
12/15/1993,16.75409836,0.867563086,5.3711775,16.52675567
12/16/1993,18,0.829717967,4.632694763,14.34069827
12/17/1993,22,1.33375785,9.840608763,21.64430213
12/18/1993,26.33333333,1.370362283,9.464105813,22.34284425
12/19/1993,22,1.128665483,7.781592925,18.92514725
12/20/1993,26,1.601391783,10.7389284,21.97834531
12/21/1993,13.37313433,0.799545967,4.943154225,14.57963069
12/22/1993,16,1.013671339,7.627384115,19.86795213
12/23/1993,14,1.237652567,9.5277695,19.93275373
12/24/1993,16,1.082235633,9.289548025,18.15582233
12/25/1993,13,0.748181759,11.01143426,14.18809947
12/26/1993,6,0.682442083,6.96962095,11.66022953
12/27/1993,16.92063492,0.99445055,8.807818163,16.4061232
12/28/1993,18,1.291026293,10.76063845,20.60746613
12/29/1993,24,1.230645172,9.643301553,23.96354493
12/30/1993,17.5,0.968668283,9.143081566,17.88893967
12/31/1993,13,1.010760867,14.19493903,21.25636413
1/1/1994,15,0.962865,12.59968943,17.15583327
1/2/1994,15.70769231,0.838194967,8.749886403,15.37240327
1/3/1994,18,0.923862968,7.485094311,17.41328493
1/4/1994,14,0.791131306,5.684578987,14.55588373
1/5/1994,19,0.834587919,8.538245115,17.28899753
1/6/1994,29,1.334766548,9.851973321,20.35768113
1/7/1994,32,1.351710081,11.6402657,24.79605853
1/8/1994,13.86206897,0.939047328,9.714898162,16.10604087
1/9/1994,15,0.702222367,11.81995101,12.16835753
1/10/1994,40,0.894051919,14.53382468,16.55461447
1/11/1994,30,1.136700117,18.46570516,20.6699276
1/12/1994,12,1.334913183,17.14188516,23.15015027
1/13/1994,25,1.245857067,13.74808296,23.78804282
1/14/1994,21.27692308,1.098818167,13.7231425,21.58702494
